2018-2019 (Combine data for Public and Private),
Region,Total Number of S. Enrolled
Region I - Ilocos Region,"416,746"
Region II - Cagayan Valley,"269,347"
Region III - Central Luzon,"892,253"
Region IV-A - CALABARZON,"1,177,847"
Region IV-B - MIMAROPA,"272,820"
Region V - Bicol Region,"582,521"
Region VI - Western Visayas,"659,757"
Region VII - Central Visayas,"665,751"
Region VIII - Eastern Visayas,"405,521"
Region IX - Zamboanga Peninsula,"319,702"
 Region X - Northern Mindanao ,"382,891"
 Region XI - Davao Region ,"416,696"
 Region XII - Soccsksargen ,"374,613"
 CARAGA - CARAGA ,"236,746"
 BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,"195,357"
 CAR - Cordillera Administrative Region ,"138,788"
 NCR - National Capital Region ,"908,939"
,
2019-2020 (Combine Data for Public and Private),
Region,Total Number of S. Enrolled
Region I - Ilocos Region,"423,263"
Region II - Cagayan Valley,"277,047"
Region III - Central Luzon,"915,136"
Region IV-A - CALABARZON,"1,213,489"
Region IV-B - MIMAROPA,"276,621"
Region V - Bicol Region,"583,824"
Region VI - Western Visayas,"673,826"
Region VII - Central Visayas,"671,703"
Region VIII - Eastern Visayas,"407,076"
Region IX - Zamboanga Peninsula,"327,650"
Region X - Northern Mindanao,"397,967"
Region XI - Davao Region,"431,313"
Region XII - Soccsksargen,"390,292"
CARAGA - CARAGA,"241,721"
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,"210,953"
CAR - Cordillera Administrative Region,"139,549"
NCR - National Capital Region,"915,539"
,
2020-2021 (Combine Data for Public and Private),
Region,Total Number of S. Enrolled
Region I - Ilocos Region,"424,637"
Region II - Cagayan Valley,"289,853"
Region III - Central Luzon,"902,369"
Region IV-A - CALABARZON,"1,178,212"
Region IV-B - MIMAROPA,"273,497"
Region V - Bicol Region,"528,491"
Region VI - Western Visayas,"690,133"
Region VII - Central Visayas,"645,722"
Region VIII - Eastern Visayas,"410,451"
Region IX - Zamboanga Peninsula,"333,646"
Region X - Northern Mindanao,"399,801"
Region XI - Davao Region,"411,314"
Region XII - Soccsksargen,"394,474"
CARAGA - CARAGA,"245,678"
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,"208,348"
CAR - Cordillera Administrative Region,"138,604"
NCR - National Capital Region,"858,003"
